artist,song
ABBA,Ahe's My Kind Of Girl
ABBA,"Andante, Andante"
ABBA,As Good As New
ABBA,Bang
ABBA,Bang-A-Boomerang
ABBA,Burning My Bridges
ABBA,Cassandra
ABBA,Chiquitita
ABBA,Crazy World
ABBA,Crying Over You
ABBA,Dance
ABBA,Dancing Queen
ABBA,Disillusion
ABBA,Does Your Mother Know
ABBA,Dream World
ABBA,Dum Dum Diddle
ABBA,Eagle
ABBA,Every Good Man
ABBA,Fernando
ABBA,Fernando (In Spanish)
ABBA,Free As A Bumble Bee
ABBA,From A Twinkling Star To A Passing Angel
ABBA,Gimme Gimme Gimme
ABBA,Givin' A Little Bit More
ABBA,Gonna Sing You My Lovesong
ABBA,Hamlet III
ABBA,Happy Hawaii
ABBA,Happy New Year
ABBA,He Is Your Brother
ABBA,Head Over Heels
ABBA,Here We'll Stay
ABBA,Hey Hey Helen
ABBA,Hole In Your Soul
ABBA,"Honey, Honey"
ABBA,I Am Just A Girl
ABBA,I Am The City
ABBA,"I Do, I Do, I Do, I Do, I Do"
ABBA,I Have A Dream
ABBA,I Let The Music Speak
ABBA,I Saw It In The Mirror
ABBA,I Wonder (Departure)
ABBA,I Wonder (Departure) [Live]
ABBA,If It Wasn't For The Nights
ABBA,I'm A Marionette
ABBA,I've Been Waiting For You
ABBA,Juper Jrouper
ABBA,Just A Notion
ABBA,King Kong Song
ABBA,Kisses Of Fire
ABBA,Knowing Me Knowing You
ABBA,Lay All Your Love On Me
ABBA,Like An Angel Passing Through My Room
ABBA,Love Has It's Ways
ABBA,Love Isn't Easy
ABBA,Lovelight
ABBA,Lovers
ABBA,Mamma Mia
ABBA,Man In The Middle
ABBA,Me And Bobby And Bobby's Brother
ABBA,Me And I
ABBA,Merry-Go-Round
ABBA,Midnight Special
ABBA,Money Money Money
ABBA,Move On
ABBA,"My Love, My Life"
ABBA,My Mama Said
ABBA,"Nina, Pretty Ballerina"
ABBA,On And On And On
ABBA,"One Man, One Woman"
ABBA,One Of Us
ABBA,Our Last Summer
ABBA,People Need Love
ABBA,Pick A Bale Of Cotton
ABBA,Put On Your White Sombrero
ABBA,Reina Danzante
ABBA,Rikky Rock'n'Roller
ABBA,Ring Ring
ABBA,Rock Me
ABBA,Rock 'n Roll Band
ABBA,Rubber Ball Man
ABBA,S. O. S.
ABBA,Should I Laugh Or Cry
ABBA,Sitting In The Palmtree
ABBA,Slipping Through My Fingers
ABBA,So Long
ABBA,Soldiers
ABBA,SOS
ABBA,Summer Night City
ABBA,Suzy-Hang-Around
ABBA,Take A Chance
ABBA,Take A Chance On Me
ABBA,Thank You For The Music
ABBA,That's Me
ABBA,The Day Before You Came
ABBA,The King Has Lost His Crown
ABBA,The Name Of The Game
ABBA,The Piper
ABBA,The Visitors
ABBA,The Way Old Friends Do
ABBA,The Winner Takes It All
ABBA,Tiger
ABBA,Tropical Loveland
ABBA,Two For The Price Of One
ABBA,Under Attack
ABBA,Voulez Vous
ABBA,Watch Out
ABBA,Waterloo
ABBA,We Wish You A Merry Christmas
ABBA,What About Livingstone
ABBA,When All Is Said And Done
ABBA,When I Kissed The Teacher
ABBA,Why Did It Have To Be Me?
ABBA,You Owe Me One
Ace Of Base,"Always Have, Always Will"
Ace Of Base,Cecilia
Ace Of Base,Don't Stop
Ace Of Base,Edge Of Heaven
Ace Of Base,Fashion Party
Ace Of Base,Happy Nation
Ace Of Base,Hey Darling
Ace Of Base,Life Is A Flower
Ace Of Base,"Mercy, Mercy"
Ace Of Base,Never Gonna Say I'm Sorry
Ace Of Base,Perfect World
Ace Of Base,Who Am I
Adam Sandler,Camp Granada
Adam Sandler,Creepin' On The Mayor
Adam Sandler,Love Stinks
Adam Sandler,Mr. Bake-O
Adam Sandler,Steve Polychronopolous
Adam Sandler,The Adventures Of The Cow
Adam Sandler,The Psychotic Legend Of Uncle Donnie
Adam Sandler,Welcome My Son
Adele,All I Ask
Adele,Can't Let Go
Adele,Crazy For You
Adele,Daydreamer
Adele,Hello
Adele,I Miss You
Adele,Melt My Heart To Stone
Adele,Need You Know
Adele,Now And Then
Adele,Someone Like You
Adele,Think That I Get Told The Court
Adele,You'll Never See Me Again
Aerosmith,All Your Love
Aerosmith,Bacon Biscuit Blues
Aerosmith,Blind Man
Aerosmith,Draw The Line
Aerosmith,Eat The Rich
Aerosmith,Falling In Love
Aerosmith,Fever
Aerosmith,Get It Up
Aerosmith,I Ain't Got You
Aerosmith,I'm Ready
Aerosmith,Janie's Got A Gun
Aerosmith,Lay It Down
Aerosmith,Love In An Elevator
Aerosmith,Love Me Like A Bird Dog
Aerosmith,Love Me Two Times
Aerosmith,Luv Lies
Aerosmith,Magic Touch
Aerosmith,Make It
Aerosmith,Mama Kin
Aerosmith,Melt Down
Aerosmith,Mia
Aerosmith,Milkcow Blues
Aerosmith,Monkey On My Back
Aerosmith,Mother Popcorn
Aerosmith,Movin' Out
Aerosmith,My Fist Your Face
Aerosmith,My Girl
Aerosmith,Never Loved A Girl
Aerosmith,No More No More
Aerosmith,No Surprize
Aerosmith,Nobody's Fault
Aerosmith,Oasis In The Night
Aerosmith,On The Road Again
Aerosmith,Once Is Enough
Aerosmith,One Way Street
Aerosmith,Outta Your Head
Aerosmith,Pandora's Box
Aerosmith,Permanent Vacation
Aerosmith,Pink
Aerosmith,Prelude To Joanie
Aerosmith,Push Comes To Shove
Aerosmith,Rag Doll
Aerosmith,Rats In The Cellar
Aerosmith,Rattlesnake Shake
Aerosmith,Red House
Aerosmith,Remember
Aerosmith,Road Runner
Aerosmith,Rocket 88
Aerosmith,Rockin' Pneumonia And The Boogie Woogie Flu
Aerosmith,Round And Round
Aerosmith,Same Old Song And Dance
Aerosmith,Scream In Pain
Aerosmith,Seasons Of Wither
Aerosmith,Sedona Sunrise
Aerosmith,"Shame, Shame, Shame"
Aerosmith,She's On Fire
Aerosmith,Shut Up And Dance
Aerosmith,Sick As A Dog
